name,url,create_time,spider_time,title,time,release_date,intro,genres,directors,writers,stars,actors
Beyond Silence (1996),https://www.imdb.com/title/tt0116692/?ref_=fn_al_tt_1,2023-03-13 17:09:44.591860,2023-03-14 07:22:48.274484,Beyond Silence,1 hour 49 minutes,"June 5, 1998 ",,Drama|Music,Caroline Link,Caroline Link|Beth Serlin|Caroline Link|Beth Serlin|Caroline Link|Beth Serlin|Caroline Link|Beth Serlin|Caroline Link|Beth Serlin|Caroline Link|Beth Serlin,,Sylvie Testud|Tatjana Trieb|Howie Seago|Sylvie Testud|Tatjana Trieb|Howie Seago|Sylvie Testud|Tatjana Trieb|Howie Seago|Sylvie Testud|Tatjana Trieb|Howie Seago
"Land Girls, The (1998)",https://www.imdb.com/title/tt0118894/?ref_=fn_al_tt_1,2023-03-13 17:09:49.180577,2023-03-14 07:22:54.711107,Cousin Bette,1 hour 48 minutes,"June 12, 1998 ",,Comedy|Drama|Romance,Des McAnuff,Honoré de Balzac|Lynn Siefert|Susan Tarr|Honoré de Balzac|Lynn Siefert|Susan Tarr|Honoré de Balzac|Lynn Siefert|Susan Tarr|Honoré de Balzac|Lynn Siefert|Susan Tarr|Honoré de Balzac|Lynn Siefert|Susan Tarr|Honoré de Balzac|Lynn Siefert|Susan Tarr,,Jessica Lange|Elisabeth Shue|Bob Hoskins|Jessica Lange|Elisabeth Shue|Bob Hoskins|Jessica Lange|Elisabeth Shue|Bob Hoskins|Jessica Lange|Elisabeth Shue|Bob Hoskins
Passion in the Desert (1998),https://www.imdb.com/title/tt0119494/?ref_=fn_al_tt_1,2023-03-13 17:09:51.432879,2023-03-14 07:23:01.592842,The Land Girls,1 hour 51 minutes,"June 12, 1998 ",,Drama|Romance|War,David Leland,Angela Huth|Keith Dewhurst|David Leland|Angela Huth|Keith Dewhurst|David Leland|Angela Huth|Keith Dewhurst|David Leland|Angela Huth|Keith Dewhurst|David Leland|Angela Huth|Keith Dewhurst|David Leland|Angela Huth|Keith Dewhurst|David Leland,,Catherine McCormack|Rachel Weisz|Anna Friel|Catherine McCormack|Rachel Weisz|Anna Friel|Catherine McCormack|Rachel Weisz|Anna Friel|Catherine McCormack|Rachel Weisz|Anna Friel
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",https://www.imdb.com/title/tt0118849/?ref_=fn_al_tt_1,2023-03-13 17:09:53.747774,2023-03-14 07:23:08.425189,Children of Heaven,1 hour 29 minutes,"January 22, 1999 ",,Drama|Family|Sport,Majid Majidi,Majid Majidi|Majid Majidi|Majid Majidi,,Mohammad Amir Naji|Amir Farrokh Hashemian|Bahare Seddiqi|Mohammad Amir Naji|Amir Farrokh Hashemian|Bahare Seddiqi|Mohammad Amir Naji|Amir Farrokh Hashemian|Bahare Seddiqi|Mohammad Amir Naji|Amir Farrokh Hashemian|Bahare Seddiqi
Dear Jesse (1997),https://www.imdb.com/title/tt0150290/?ref_=fn_al_tt_1,2023-03-13 17:09:56.014320,2023-03-14 07:23:14.654159,Dear Jesse,1 hour 22 minutes,"September 9, 1997 ",,Documentary,Tim Kirkman,Tim Kirkman|Tim Kirkman|Tim Kirkman,,Nathan A. Barbour|Karen Brown|Patsy Clarke|Nathan A. Barbour|Karen Brown|Patsy Clarke|Nathan A. Barbour|Karen Brown|Patsy Clarke|Nathan A. Barbour|Karen Brown|Patsy Clarke
Hav Plenty (1997),https://www.imdb.com/title/tt0126938/?ref_=fn_al_tt_1,2023-03-13 17:09:58.254637,2023-03-14 07:23:21.601700,Hav Plenty,1 hour 32 minutes,"June 19, 1998 ",,Comedy|Romance,Christopher Scott Cherot,Christopher Scott Cherot|Christopher Scott Cherot|Christopher Scott Cherot,,Christopher Scott Cherot|Chenoa Maxwell|Hill Harper|Christopher Scott Cherot|Chenoa Maxwell|Hill Harper|Christopher Scott Cherot|Chenoa Maxwell|Hill Harper|Christopher Scott Cherot|Chenoa Maxwell|Hill Harper
Marie Baie Des Anges (1997),https://www.imdb.com/title/tt0143614/?ref_=fn_al_tt_1,2023-03-13 17:10:00.561183,2023-03-14 07:23:29.476764,Marie Baie des Anges,1 hour 30 minutes,"June 19, 1998 ",,Drama|Romance,Manuel Pradal,Manuel Pradal|Manuel Pradal|Manuel Pradal,,Vahina Giocante|Frédéric Malgras|Nicolas Welbers|Vahina Giocante|Frédéric Malgras|Nicolas Welbers|Vahina Giocante|Frédéric Malgras|Nicolas Welbers|Vahina Giocante|Frédéric Malgras|Nicolas Welbers
Resurrection Man (1998),https://www.imdb.com/title/tt0140508/?ref_=fn_al_tt_1,2023-03-13 17:10:02.829106,2023-03-14 07:23:36.458301,Resurrection Man,1 hour 42 minutes,"February 13, 1998 ",,Crime|Drama|Thriller,Marc Evans,Eoin McNamee|Eoin McNamee|Eoin McNamee,,David Williamson|Stuart Townsend|Brenda Fricker|David Williamson|Stuart Townsend|Brenda Fricker|David Williamson|Stuart Townsend|Brenda Fricker|David Williamson|Stuart Townsend|Brenda Fricker
"X-Files: Fight the Future, The (1998)",https://www.imdb.com/title/tt7083566/?ref_=fn_al_tt_1,2023-03-13 17:10:05.145309,2023-03-14 07:23:42.999186,The X Files - Fight the Future: Blooper Reel,3 minutes,2008 ,,Short|Comedy,,,,Gillian Anderson|David Duchovny|Gillian Anderson|David Duchovny|Gillian Anderson|David Duchovny|Gillian Anderson|David Duchovny
Voyage to the Beginning of the World (1997),https://www.imdb.com/title/tt0120443/?ref_=fn_al_tt_1,2023-03-13 17:10:07.477797,2023-03-14 07:23:49.961124,Voyage to the Beginning of the World,1 hour 31 minutes,"June 26, 1998 ",,Biography|Drama,Manoel de Oliveira,Manoel de Oliveira|Jacques Parsi|Manoel de Oliveira|Jacques Parsi|Manoel de Oliveira|Jacques Parsi|Manoel de Oliveira|Jacques Parsi|Manoel de Oliveira|Jacques Parsi|Manoel de Oliveira|Jacques Parsi,,Marcello Mastroianni|Jean-Yves Gautier|Leonor Silveira|Marcello Mastroianni|Jean-Yves Gautier|Leonor Silveira|Marcello Mastroianni|Jean-Yves Gautier|Leonor Silveira|Marcello Mastroianni|Jean-Yves Gautier|Leonor Silveira
Buffalo 66 (1998),https://www.imdb.com/title/tt0118789/?ref_=fn_al_tt_1,2023-03-13 17:10:09.761105,2023-03-14 07:23:56.866372,Buffalo '66,1 hour 50 minutes,"June 26, 1998 ",,Comedy|Drama|Romance,Vincent Gallo,Vincent Gallo|Alison Bagnall|Vincent Gallo|Alison Bagnall|Vincent Gallo|Alison Bagnall|Vincent Gallo|Alison Bagnall|Vincent Gallo|Alison Bagnall|Vincent Gallo|Alison Bagnall,,Vincent Gallo|Christina Ricci|Ben Gazzara|Vincent Gallo|Christina Ricci|Ben Gazzara|Vincent Gallo|Christina Ricci|Ben Gazzara|Vincent Gallo|Christina Ricci|Ben Gazzara
Plan 9 from Outer Space (1958),https://www.imdb.com/title/tt0052077/?ref_=fn_al_tt_1,2023-03-13 17:10:12.047570,2023-03-14 07:24:03.785988,Plan 9 from Outer Space,1 hour 19 minutes,"July 22, 1959 ",,Horror|Sci-Fi,Edward D. Wood Jr.,Edward D. Wood Jr.|Edward D. Wood Jr.|Edward D. Wood Jr.,,Gregory Walcott|Tom Keene|Mona McKinnon|Gregory Walcott|Tom Keene|Mona McKinnon|Gregory Walcott|Tom Keene|Mona McKinnon|Gregory Walcott|Tom Keene|Mona McKinnon
Wings (1927),https://www.imdb.com/title/tt0018578/?ref_=fn_al_tt_1,2023-03-13 17:10:14.325622,2023-03-14 07:24:10.888899,Wings,2 hours 24 minutes,"January 5, 1929 ",,Drama|Romance|War,William A. Wellman|Harry d'Abbadie d'Arrast,John Monk Saunders|Hope Loring|Louis D. Lighton|John Monk Saunders|Hope Loring|Louis D. Lighton|John Monk Saunders|Hope Loring|Louis D. Lighton|John Monk Saunders|Hope Loring|Louis D. Lighton|John Monk Saunders|Hope Loring|Louis D. Lighton|John Monk Saunders|Hope Loring|Louis D. Lighton,,Clara Bow|Charles 'Buddy' Rogers|Richard Arlen|Clara Bow|Charles 'Buddy' Rogers|Richard Arlen|Clara Bow|Charles 'Buddy' Rogers|Richard Arlen|Clara Bow|Charles 'Buddy' Rogers|Richard Arlen
Cavalcade (1933),https://www.imdb.com/title/tt0023876/?ref_=fn_al_tt_1,2023-03-13 17:10:16.625647,2023-03-14 07:24:17.448746,Cavalcade,1 hour 52 minutes,"April 15, 1933 ",,Drama|Romance|War,Frank Lloyd,Reginald Berkeley|Noël Coward|Reginald Berkeley|Noël Coward|Reginald Berkeley|Noël Coward|Reginald Berkeley|Noël Coward|Reginald Berkeley|Noël Coward|Reginald Berkeley|Noël Coward,,Diana Wynyard|Clive Brook|Una O'Connor|Diana Wynyard|Clive Brook|Una O'Connor|Diana Wynyard|Clive Brook|Una O'Connor|Diana Wynyard|Clive Brook|Una O'Connor
"Life of Émile Zola, The (1937)",https://www.imdb.com/title/tt0029146/?ref_=fn_al_tt_1,2023-03-13 17:10:18.932242,2023-03-14 07:24:24.430986,The Life of Emile Zola,1 hour 56 minutes,"October 2, 1937 ",,Biography|Drama,William Dieterle,Norman Reilly Raine|Heinz Herald|Geza Herczeg|Norman Reilly Raine|Heinz Herald|Geza Herczeg|Norman Reilly Raine|Heinz Herald|Geza Herczeg|Norman Reilly Raine|Heinz Herald|Geza Herczeg|Norman Reilly Raine|Heinz Herald|Geza Herczeg|Norman Reilly Raine|Heinz Herald|Geza Herczeg,,Paul Muni|Gale Sondergaard|Joseph Schildkraut|Paul Muni|Gale Sondergaard|Joseph Schildkraut|Paul Muni|Gale Sondergaard|Joseph Schildkraut|Paul Muni|Gale Sondergaard|Joseph Schildkraut
You Can't Take It With You (1938),https://www.imdb.com/title/tt0030993/?ref_=fn_al_tt_1,2023-03-13 17:10:21.240919,2023-03-14 07:24:31.119576,You Can't Take It with You,2 hours 6 minutes,"September 29, 1938 ",,Comedy|Drama|Romance,Frank Capra,Robert Riskin|George S. Kaufman|Moss Hart|Robert Riskin|George S. Kaufman|Moss Hart|Robert Riskin|George S. Kaufman|Moss Hart|Robert Riskin|George S. Kaufman|Moss Hart|Robert Riskin|George S. Kaufman|Moss Hart|Robert Riskin|George S. Kaufman|Moss Hart,,Jean Arthur|James Stewart|Lionel Barrymore|Jean Arthur|James Stewart|Lionel Barrymore|Jean Arthur|James Stewart|Lionel Barrymore|Jean Arthur|James Stewart|Lionel Barrymore
How Green Was My Valley (1941),https://www.imdb.com/title/tt0033729/?ref_=fn_al_tt_1,2023-03-13 17:10:23.535308,2023-03-14 07:24:37.442222,How Green Was My Valley,1 hour 58 minutes,"April 9, 1942 ",,Drama|Family,John Ford,Philip Dunne|Richard Llewellyn|Philip Dunne|Richard Llewellyn|Philip Dunne|Richard Llewellyn|Philip Dunne|Richard Llewellyn|Philip Dunne|Richard Llewellyn|Philip Dunne|Richard Llewellyn,,Walter Pidgeon|Maureen O'Hara|Anna Lee|Walter Pidgeon|Maureen O'Hara|Anna Lee|Walter Pidgeon|Maureen O'Hara|Anna Lee|Walter Pidgeon|Maureen O'Hara|Anna Lee
"Greatest Show on Earth, The (1952)",https://www.imdb.com/title/tt0044672/?ref_=fn_al_tt_1,2023-03-13 17:10:25.841213,2023-03-14 07:24:43.981135,The Greatest Show on Earth,2 hours 32 minutes,May 1952 ,,Drama|Family|Romance,Cecil B. DeMille,Fredric M. Frank|Barré Lyndon|Theodore St. John|Fredric M. Frank|Barré Lyndon|Theodore St. John|Fredric M. Frank|Barré Lyndon|Theodore St. John|Fredric M. Frank|Barré Lyndon|Theodore St. John|Fredric M. Frank|Barré Lyndon|Theodore St. John|Fredric M. Frank|Barré Lyndon|Theodore St. John,,James Stewart|Charlton Heston|Betty Hutton|James Stewart|Charlton Heston|Betty Hutton|James Stewart|Charlton Heston|Betty Hutton|James Stewart|Charlton Heston|Betty Hutton
Kramer Vs. Kramer (1979),https://www.imdb.com/title/tt0079417/?ref_=fn_al_tt_1,2023-03-13 17:10:28.131155,2023-03-14 07:24:50.558118,Kramer vs. Kramer,1 hour 45 minutes,"December 19, 1979 ",,Drama,Robert Benton,Avery Corman|Robert Benton|Avery Corman|Robert Benton|Avery Corman|Robert Benton|Avery Corman|Robert Benton|Avery Corman|Robert Benton|Avery Corman|Robert Benton,,Dustin Hoffman|Meryl Streep|Jane Alexander|Dustin Hoffman|Meryl Streep|Jane Alexander|Dustin Hoffman|Meryl Streep|Jane Alexander|Dustin Hoffman|Meryl Streep|Jane Alexander
"Nightmare on Elm Street 5: The Dream Child, A (1989)",https://www.imdb.com/title/tt12737326/?ref_=fn_al_tt_1,2023-03-13 17:10:30.482000,2023-03-14 07:24:57.369512,A Nightmare on Elm Street 5: The Dream Child,,1989 ,,Fantasy|Horror,,Wes Craven|Wes Craven|Wes Craven,,Robert Englund|Robert Englund
Friday the 13th Part V: A New Beginning (1985),https://www.imdb.com/title/tt0083972/?ref_=fn_al_tt_1,2023-03-13 17:10:35.146173,2023-03-14 07:25:04.275174,Friday the 13th Part III,1 hour 35 minutes,"August 13, 1982 ",,Horror|Thriller,Steve Miner,Martin Kitrosser|Carol Watson|Victor Miller|Martin Kitrosser|Carol Watson|Victor Miller|Martin Kitrosser|Carol Watson|Victor Miller|Martin Kitrosser|Carol Watson|Victor Miller|Martin Kitrosser|Carol Watson|Victor Miller|Martin Kitrosser|Carol Watson|Victor Miller,,Dana Kimmell|Tracie Savage|Richard Brooker|Dana Kimmell|Tracie Savage|Richard Brooker|Dana Kimmell|Tracie Savage|Richard Brooker|Dana Kimmell|Tracie Savage|Richard Brooker
Halloween III: Season of the Witch (1983),https://www.imdb.com/title/tt0089173/?ref_=fn_al_tt_1,2023-03-13 17:10:37.418691,2023-03-14 07:25:10.497060,Friday the 13th: A New Beginning,1 hour 32 minutes,"March 22, 1985 ",,Horror|Mystery|Thriller,Danny Steinmann,Martin Kitrosser|David Cohen|Danny Steinmann|Martin Kitrosser|David Cohen|Danny Steinmann|Martin Kitrosser|David Cohen|Danny Steinmann|Martin Kitrosser|David Cohen|Danny Steinmann|Martin Kitrosser|David Cohen|Danny Steinmann|Martin Kitrosser|David Cohen|Danny Steinmann,,Melanie Kinnaman|John Shepherd|Anthony Barrile|Melanie Kinnaman|John Shepherd|Anthony Barrile|Melanie Kinnaman|John Shepherd|Anthony Barrile|Melanie Kinnaman|John Shepherd|Anthony Barrile
Hello Mary Lou: Prom Night II (1987),https://www.imdb.com/title/tt0093176/?ref_=fn_al_tt_1,2023-03-13 17:10:39.744640,2023-03-14 07:25:17.462709,Hello Mary Lou: Prom Night II,1 hour 37 minutes,"October 16, 1987 ",,Horror|Thriller,Bruce Pittman,Ron Oliver|Ron Oliver|Ron Oliver,,Lisa Schrage|Michael Ironside|Wendy Lyon|Lisa Schrage|Michael Ironside|Wendy Lyon|Lisa Schrage|Michael Ironside|Wendy Lyon|Lisa Schrage|Michael Ironside|Wendy Lyon
Prom Night III: The Last Kiss (1989),https://www.imdb.com/title/tt0098136/?ref_=fn_al_tt_1,2023-03-13 17:10:42.041761,2023-03-14 07:25:24.568589,Prom Night III: The Last Kiss,1 hour 37 minutes,"November 1, 1990 ",,Comedy|Horror,Ron Oliver|Peter R. Simpson,Ron Oliver|Ron Oliver|Ron Oliver,,Tim Conlon|Cynthia Preston|David Stratton|Tim Conlon|Cynthia Preston|David Stratton|Tim Conlon|Cynthia Preston|David Stratton|Tim Conlon|Cynthia Preston|David Stratton
Prom Night IV: Deliver Us From Evil (1992),https://www.imdb.com/title/tt0105179/?ref_=fn_al_tt_1,2023-03-13 17:10:44.352904,2023-03-14 07:25:31.317312,Prom Night IV: Deliver Us from Evil,1 hour 32 minutes,December 1991 ,,Horror|Thriller,Clay Borris,Richard Beattie|Richard Beattie|Richard Beattie,,Nicole de Boer|J.H. Wyman|Joy Tanner|Nicole de Boer|J.H. Wyman|Joy Tanner|Nicole de Boer|J.H. Wyman|Joy Tanner|Nicole de Boer|J.H. Wyman|Joy Tanner
"This World, Then the Fireworks (1996)",https://www.imdb.com/title/tt0103956/?ref_=fn_al_tt_1,2023-03-13 17:10:48.985532,2023-03-14 07:25:38.608773,Child's Play 3,1 hour 30 minutes,"August 30, 1991 ",,Horror|Thriller,Jack Bender,Don Mancini|Don Mancini|Don Mancini,,Justin Whalin|Perrey Reeves|Jeremy Sylvers|Justin Whalin|Perrey Reeves|Jeremy Sylvers|Justin Whalin|Perrey Reeves|Jeremy Sylvers|Justin Whalin|Perrey Reeves|Jeremy Sylvers
Metropolis (1926),https://www.imdb.com/title/tt0117898/?ref_=fn_al_tt_1,2023-03-13 17:10:51.199083,2023-03-14 07:25:45.640888,"This World, Then the Fireworks",1 hour 40 minutes,"July 11, 1997 ",,Crime|Drama,Michael Oblowitz,Jim Thompson|Larry Gross|Jim Thompson|Larry Gross|Jim Thompson|Larry Gross|Jim Thompson|Larry Gross|Jim Thompson|Larry Gross|Jim Thompson|Larry Gross,,Billy Zane|Gina Gershon|Christian Durango|Billy Zane|Gina Gershon|Christian Durango|Billy Zane|Gina Gershon|Christian Durango|Billy Zane|Gina Gershon|Christian Durango
Freaky Friday (1977),https://www.imdb.com/title/tt0322330/?ref_=fn_al_tt_1,2023-03-13 17:10:53.534464,2023-03-14 07:25:52.315709,Freaky Friday,1 hour 37 minutes,"August 6, 2003 ",,Comedy|Family|Fantasy,Mark Waters,Mary Rodgers|Heather Hach|Leslie Dixon|Mary Rodgers|Heather Hach|Leslie Dixon|Mary Rodgers|Heather Hach|Leslie Dixon|Mary Rodgers|Heather Hach|Leslie Dixon|Mary Rodgers|Heather Hach|Leslie Dixon|Mary Rodgers|Heather Hach|Leslie Dixon,,Jamie Lee Curtis|Lindsay Lohan|Mark Harmon|Jamie Lee Curtis|Lindsay Lohan|Mark Harmon|Jamie Lee Curtis|Lindsay Lohan|Mark Harmon|Jamie Lee Curtis|Lindsay Lohan|Mark Harmon
Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),https://www.imdb.com/title/tt0047478/?ref_=fn_al_tt_1,2023-03-13 17:10:55.946637,2023-03-14 07:25:59.221606,Seven Samurai,3 hours 27 minutes,"November 19, 1956 ",,Action|Drama,Akira Kurosawa,Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni|Akira Kurosawa|Shinobu Hashimoto|Hideo Oguni,,Toshirô Mifune|Takashi Shimura|Keiko Tsushima|Toshirô Mifune|Takashi Shimura|Keiko Tsushima|Toshirô Mifune|Takashi Shimura|Keiko Tsushima|Toshirô Mifune|Takashi Shimura|Keiko Tsushima
Mafia! (1998),https://www.imdb.com/title/tt0120741/?ref_=fn_al_tt_1,2023-03-13 17:10:58.213137,2023-03-14 07:26:06.111516,Mafia!,1 hour 27 minutes,"July 24, 1998 ",,Comedy|Crime,Jim Abrahams,Jim Abrahams|Greg Norberg|Michael McManus|Jim Abrahams|Greg Norberg|Michael McManus|Jim Abrahams|Greg Norberg|Michael McManus|Jim Abrahams|Greg Norberg|Michael McManus|Jim Abrahams|Greg Norberg|Michael McManus|Jim Abrahams|Greg Norberg|Michael McManus,,Jay Mohr|Christina Applegate|Lloyd Bridges|Jay Mohr|Christina Applegate|Lloyd Bridges|Jay Mohr|Christina Applegate|Lloyd Bridges|Jay Mohr|Christina Applegate|Lloyd Bridges
Billy's Hollywood Screen Kiss (1997),https://www.imdb.com/title/tt0137386/?ref_=fn_al_tt_1,2023-03-13 17:11:00.575997,2023-03-14 07:26:13.100215,Billy's Hollywood Screen Kiss,1 hour 32 minutes,"July 24, 1998 ",,Comedy|Romance,Tommy O'Haver,Tommy O'Haver|Tommy O'Haver|Tommy O'Haver,,Sean Hayes|Brad Rowe|Armando Valdes-Kennedy|Sean Hayes|Brad Rowe|Armando Valdes-Kennedy|Sean Hayes|Brad Rowe|Armando Valdes-Kennedy|Sean Hayes|Brad Rowe|Armando Valdes-Kennedy
"$1,000,000 Duck (1971)",https://www.imdb.com/title/tt0066728/?ref_=fn_al_tt_1,2023-03-13 17:11:15.701069,2023-03-14 07:26:19.756343,The Million Dollar Duck,1 hour 29 minutes,"June 30, 1971 ",,Comedy|Family|Sci-Fi,Vincent McEveety,Ted Key|Roswell Rogers|Ted Key|Roswell Rogers|Ted Key|Roswell Rogers|Ted Key|Roswell Rogers|Ted Key|Roswell Rogers|Ted Key|Roswell Rogers,,Dean Jones|Sandy Duncan|Joe Flynn|Dean Jones|Sandy Duncan|Joe Flynn|Dean Jones|Sandy Duncan|Joe Flynn|Dean Jones|Sandy Duncan|Joe Flynn
Cheetah (1989),https://www.imdb.com/title/tt0097053/?ref_=fn_al_tt_1,2023-03-13 17:11:17.964162,2023-03-14 07:26:26.101497,Cheetah,1 hour 23 minutes,"August 18, 1989 ",,Adventure|Drama|Family,Jeff Blyth,Alan Caillou|John Cotter|Erik Tarloff|Alan Caillou|John Cotter|Erik Tarloff|Alan Caillou|John Cotter|Erik Tarloff|Alan Caillou|John Cotter|Erik Tarloff|Alan Caillou|John Cotter|Erik Tarloff|Alan Caillou|John Cotter|Erik Tarloff,,Keith Coogan|Lucy Deakins|Colin Mothupi|Keith Coogan|Lucy Deakins|Colin Mothupi|Keith Coogan|Lucy Deakins|Colin Mothupi|Keith Coogan|Lucy Deakins|Colin Mothupi
"Computer Wore Tennis Shoes, The (1970)",https://www.imdb.com/title/tt0065566/?ref_=fn_al_tt_1,2023-03-13 17:11:20.278759,2023-03-14 07:26:33.227499,The Computer Wore Tennis Shoes,1 hour 31 minutes,"December 24, 1969 ",,Comedy|Family|Sci-Fi,Robert Butler,Joseph L. McEveety|Joseph L. McEveety|Joseph L. McEveety,,Kurt Russell|Cesar Romero|Joe Flynn|Kurt Russell|Cesar Romero|Joe Flynn|Kurt Russell|Cesar Romero|Joe Flynn|Kurt Russell|Cesar Romero|Joe Flynn
"Far Off Place, A (1993)",https://www.imdb.com/title/tt0106868/?ref_=fn_al_tt_1,2023-03-13 17:11:22.562543,2023-03-14 07:26:40.563588,A Far Off Place,1 hour 48 minutes,"March 12, 1993 ",,Adventure|Drama|Family,Mikael Salomon,Lourens van der Post|Robert Caswell|Jonathan Hensleigh|Lourens van der Post|Robert Caswell|Jonathan Hensleigh|Lourens van der Post|Robert Caswell|Jonathan Hensleigh|Lourens van der Post|Robert Caswell|Jonathan Hensleigh|Lourens van der Post|Robert Caswell|Jonathan Hensleigh|Lourens van der Post|Robert Caswell|Jonathan Hensleigh,,Reese Witherspoon|Ethan Embry|Jack Thompson|Reese Witherspoon|Ethan Embry|Jack Thompson|Reese Witherspoon|Ethan Embry|Jack Thompson|Reese Witherspoon|Ethan Embry|Jack Thompson
Force of Evil (1948),https://www.imdb.com/title/tt23555466/?ref_=fn_al_tt_1,2023-03-13 17:01:36.478615,2023-03-14 05:35:23.091748,Force of Evil 1948,,"August 17, 1956 ",,Comedy|Horror|Mystery,,,,
"Man from Down Under, The (1943)",https://www.imdb.com/title/tt0031612/?ref_=fn_al_tt_1,2023-03-13 17:01:38.700456,2023-03-14 05:35:31.230673,The Man from Down Under,1 hour 43 minutes,"August 4, 1943 ",,Action|Comedy|Drama,Robert Z. Leonard,Bogart Rogers|Mary Kelly|Wells Root|Bogart Rogers|Mary Kelly|Wells Root|Bogart Rogers|Mary Kelly|Wells Root|Bogart Rogers|Mary Kelly|Wells Root|Bogart Rogers|Mary Kelly|Wells Root|Bogart Rogers|Mary Kelly|Wells Root,,Charles Laughton|Binnie Barnes|Richard Carlson|Charles Laughton|Binnie Barnes|Richard Carlson|Charles Laughton|Binnie Barnes|Richard Carlson|Charles Laughton|Binnie Barnes|Richard Carlson
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),https://www.imdb.com/title/tt0057012/?ref_=fn_al_tt_1,2023-03-13 17:01:41.019022,2023-03-14 05:35:40.874382,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1 hour 35 minutes,"January 29, 1964 ",,Comedy|War,Stanley Kubrick,Stanley Kubrick|Terry Southern|Peter George|Stanley Kubrick|Terry Southern|Peter George|Stanley Kubrick|Terry Southern|Peter George|Stanley Kubrick|Terry Southern|Peter George|Stanley Kubrick|Terry Southern|Peter George|Stanley Kubrick|Terry Southern|Peter George,,Peter Sellers|George C. Scott|Sterling Hayden|Peter Sellers|George C. Scott|Sterling Hayden|Peter Sellers|George C. Scott|Sterling Hayden|Peter Sellers|George C. Scott|Sterling Hayden
Careful (1992),https://www.imdb.com/title/tt0103926/?ref_=fn_al_tt_1,2023-03-13 17:01:43.172438,2023-03-14 05:35:49.184180,Careful,1 hour 40 minutes,"March 3, 1994 ",,Comedy|Drama|Romance,Guy Maddin,Guy Maddin|George Toles|Guy Maddin|George Toles|Guy Maddin|George Toles|Guy Maddin|George Toles|Guy Maddin|George Toles|Guy Maddin|George Toles,,Kyle McCulloch|Gosia Dobrowolska|Sarah Neville|Kyle McCulloch|Gosia Dobrowolska|Sarah Neville|Kyle McCulloch|Gosia Dobrowolska|Sarah Neville|Kyle McCulloch|Gosia Dobrowolska|Sarah Neville
Vermont Is For Lovers (1992),https://www.imdb.com/title/tt0105737/?ref_=fn_al_tt_1,2023-03-13 17:01:45.357015,2023-03-14 05:35:56.760704,Vermont Is for Lovers,1 hour 28 minutes,"September 25, 1992 ",,Comedy,John O'Brien,John O'Brien|John O'Brien|John O'Brien,,George Thrush|Marya Cohn|Ann O'Brien|George Thrush|Marya Cohn|Ann O'Brien|George Thrush|Marya Cohn|Ann O'Brien|George Thrush|Marya Cohn|Ann O'Brien
"Month by the Lake, A (1995)",https://www.imdb.com/title/tt0113849/?ref_=fn_al_tt_1,2023-03-13 17:01:47.548855,2023-03-14 05:36:05.234559,A Month by the Lake,1 hour 32 minutes,"September 22, 1995 ",,Comedy|Drama|Romance,John Irvin,Trevor Bentham|H.E. Bates|Josep Llurba|Trevor Bentham|H.E. Bates|Josep Llurba|Trevor Bentham|H.E. Bates|Josep Llurba|Trevor Bentham|H.E. Bates|Josep Llurba|Trevor Bentham|H.E. Bates|Josep Llurba|Trevor Bentham|H.E. Bates|Josep Llurba,,Vanessa Redgrave|Edward Fox|Uma Thurman|Vanessa Redgrave|Edward Fox|Uma Thurman|Vanessa Redgrave|Edward Fox|Uma Thurman|Vanessa Redgrave|Edward Fox|Uma Thurman
Gold Diggers: The Secret of Bear Mountain (1995),https://www.imdb.com/title/tt0113188/?ref_=fn_al_tt_1,2023-03-13 17:01:49.745420,2023-03-14 05:36:13.508722,Gold Diggers: The Secret of Bear Mountain,1 hour 33 minutes,"November 3, 1995 ",,Adventure|Drama|Family,Kevin James Dobson,Barry Glasser|Barry Glasser|Barry Glasser,,Christina Ricci|Anna Chlumsky|Polly Draper|Christina Ricci|Anna Chlumsky|Polly Draper|Christina Ricci|Anna Chlumsky|Polly Draper|Christina Ricci|Anna Chlumsky|Polly Draper
Kim (1950),https://www.imdb.com/title/tt0042644/?ref_=fn_al_tt_1,2023-03-13 17:01:51.874920,2023-03-14 05:36:20.812310,Kim,1 hour 53 minutes,"January 26, 1951 ",,Adventure|Drama|Family,Victor Saville,Rudyard Kipling|Leon Gordon|Helen Deutsch|Rudyard Kipling|Leon Gordon|Helen Deutsch|Rudyard Kipling|Leon Gordon|Helen Deutsch|Rudyard Kipling|Leon Gordon|Helen Deutsch|Rudyard Kipling|Leon Gordon|Helen Deutsch|Rudyard Kipling|Leon Gordon|Helen Deutsch,,Errol Flynn|Dean Stockwell|Paul Lukas|Errol Flynn|Dean Stockwell|Paul Lukas|Errol Flynn|Dean Stockwell|Paul Lukas|Errol Flynn|Dean Stockwell|Paul Lukas
