id,genres,name,release_time,directors,writers,starts
2320,Drama|Thriller,Apt Pupil (1998),23 October 1998 (USA),Bryan Singer,Stephen King,Ian McKellen|Brad Renfro|Joshua Jackson
2321,Comedy,Pleasantville (1998),23 October 1998 (USA),Gary Ross,Gary Ross,Tobey Maguire|Jeff Daniels|Joan Allen
2322,Action|Adventure|Sci-Fi|Thriller|War,Soldier (1998),23 October 1998 (USA),Paul W.S. Anderson,David Webb Peoples,Kurt Russell|Jason Scott Lee|Jason Isaacs
2323,Documentary,"Cruise, The (1998)",23 October 1998 (USA),Bennett Miller,,Timothy 'Speed' Levitch
2324,Comedy|Drama,Life Is Beautiful (La Vita è bella) (1997),"December 20, 1997 ",Roberto Benigni,Vincenzo Cerami|Roberto Benigni|Vincenzo Cerami|Roberto Benigni|Vincenzo Cerami|Roberto Benigni|Vincenzo Cerami|Roberto Benigni|Vincenzo Cerami|Roberto Benigni|Vincenzo Cerami|Roberto Benigni,Roberto Benigni|Nicoletta Braschi|Giorgio Cantarini|Roberto Benigni|Nicoletta Braschi|Giorgio Cantarini|Roberto Benigni|Nicoletta Braschi|Giorgio Cantarini|Roberto Benigni|Nicoletta Braschi|Giorgio Cantarini
2325,Comedy,Orgazmo (1997),23 October 1998 (USA),Trey Parker,Matt Stone|Trey Parker,Trey Parker|Dian Bachar|Robyn Lynne Raab
2326,Drama|Thriller,Shattered Image (1998),"December 4, 1998 ",Raúl Ruiz,Duane Poole|Duane Poole|Duane Poole,Anne Parillaud|William Baldwin|Lisanne Falk|Anne Parillaud|William Baldwin|Lisanne Falk|Anne Parillaud|William Baldwin|Lisanne Falk|Anne Parillaud|William Baldwin|Lisanne Falk
2327,Horror,Tales from the Darkside: The Movie (1990),4 May 1990 (USA),John Harrison,Michael McDowell|Arthur Conan Doyle,Debbie Harry|Matthew Lawrence|Christian Slater
2328,Horror,Vampires (1998),30 October 1998 (USA),John Carpenter,John Steakley,James Woods|Daniel Baldwin|Sheryl Lee
2329,Drama,American History X (1998),20 November 1998 (USA),Tony Kaye,David McKenna,Edward Norton|Edward Furlong|Beverly D'Angelo
2330,Documentary,Hands on a Hard Body (1996),"July 10, 1998 ",S.R. Bindler,,Sid Allen|Brent Baskin|Greg Cox|Sid Allen|Brent Baskin|Greg Cox|Sid Allen|Brent Baskin|Greg Cox|Sid Allen|Brent Baskin|Greg Cox
2331,Comedy|Romance,Living Out Loud (1998),6 November 1998 (USA),Richard LaGravenese,Richard LaGravenese,Holly Hunter|Danny DeVito|Queen Latifah
2332,Crime|Drama,Belly (1998),4 November 1998 (USA),Hype Williams,Anthony Bodden|Nas,Nas|DMX|Taral Hicks
2333,Drama,Gods and Monsters (1998),4 November 1998 (USA),Bill Condon,Christopher Bram,Ian McKellen|Brendan Fraser|Lynn Redgrave
2334,Action|Thriller,"Siege, The (1998)",6 November 1998 (USA),Edward Zwick,Lawrence Wright|Lawrence Wright,Denzel Washington|Bruce Willis|Annette Bening
2335,Comedy,"Waterboy, The (1998)",6 November 1998 (USA),Frank Coraci,Tim Herlihy,Adam Sandler|Kathy Bates|Henry Winkler
2336,Drama,Elizabeth (1998),23 October 1998 (UK),Shekhar Kapur,Michael Hirst,Cate Blanchett|Liz Giles|Rod Culbertson
2337,Drama,Velvet Goldmine (1998),23 October 1998 (UK),Todd Haynes,James Lyons|Todd Haynes,Ewan McGregor|Jonathan Rhys Meyers|Christian Bale
2338,Horror|Mystery|Thriller,I Still Know What You Did Last Summer (1998),13 November 1998 (USA),Danny Cannon,Lois Duncan,Jennifer Love Hewitt|Freddie Prinze Jr.|Brandy Norwood
2339,Comedy|Romance,I'll Be Home For Christmas (1998),"November 13, 1998 ",Arlene Sanford,Tom Nursall|Harris Goldberg|Michael Allin|Tom Nursall|Harris Goldberg|Michael Allin|Tom Nursall|Harris Goldberg|Michael Allin|Tom Nursall|Harris Goldberg|Michael Allin|Tom Nursall|Harris Goldberg|Michael Allin|Tom Nursall|Harris Goldberg|Michael Allin,Jonathan Taylor Thomas|Jessica Biel|Adam LaVorgna|Jonathan Taylor Thomas|Jessica Biel|Adam LaVorgna|Jonathan Taylor Thomas|Jessica Biel|Adam LaVorgna|Jonathan Taylor Thomas|Jessica Biel|Adam LaVorgna
2340,Romance,Meet Joe Black (1998),13 November 1998 (USA),Martin Brest,Ron Osborn|Jeff Reno,Brad Pitt|Anthony Hopkins|Claire Forlani
2341,Drama,Dancing at Lughnasa (1998),"November 13, 1998 ",Pat O'Connor,Brian Friel|Frank McGuinness|William Butler Yeats|Brian Friel|Frank McGuinness|William Butler Yeats|Brian Friel|Frank McGuinness|William Butler Yeats|Brian Friel|Frank McGuinness|William Butler Yeats|Brian Friel|Frank McGuinness|William Butler Yeats|Brian Friel|Frank McGuinness|William Butler Yeats,Meryl Streep|Michael Gambon|Gerard McSorley|Meryl Streep|Michael Gambon|Gerard McSorley|Meryl Streep|Michael Gambon|Gerard McSorley|Meryl Streep|Michael Gambon|Gerard McSorley
2342,Comedy,Hard Core Logo (1996),25 October 1996 (Canada),Bruce McDonald,Noel S. Baker,Hugh Dillon|Callum Keith Rennie|John Pyper-Ferguson
2343,Drama,"Naked Man, The (1998)","August 11, 1999 ",J. Todd Anderson,J. Todd Anderson|Ethan Coen|J. Todd Anderson|Ethan Coen|J. Todd Anderson|Ethan Coen|J. Todd Anderson|Ethan Coen|J. Todd Anderson|Ethan Coen|J. Todd Anderson|Ethan Coen,Michael Rapaport|Michael Jeter|John Carroll Lynch|Michael Rapaport|Michael Jeter|John Carroll Lynch|Michael Rapaport|Michael Jeter|John Carroll Lynch|Michael Rapaport|Michael Jeter|John Carroll Lynch
2344,Action|Adventure|Drama|Thriller,Runaway Train (1985),17 January 1986 (USA),Andrey Konchalovskiy,Djordje Milicevic|Paul Zindel,Jon Voight|Eric Roberts|Rebecca De Mornay
2345,Drama,Desert Bloom (1986),"April 18, 1986 ",Eugene Corr,Linda Remy|Eugene Corr|Linda Remy|Eugene Corr|Linda Remy|Eugene Corr|Linda Remy|Eugene Corr|Linda Remy|Eugene Corr|Linda Remy|Eugene Corr,Jon Voight|JoBeth Williams|Annabeth Gish|Jon Voight|JoBeth Williams|Annabeth Gish|Jon Voight|JoBeth Williams|Annabeth Gish|Jon Voight|JoBeth Williams|Annabeth Gish
2346,Sci-Fi|Thriller,"Stepford Wives, The (1975)",12 February 1975 (USA),Bryan Forbes,Ira Levin,Katharine Ross|Paula Prentiss|Peter Masterson
2347,Action,"Pope of Greenwich Village, The (1984)",22 June 1984 (USA),Stuart Rosenberg,Vincent Patrick,Eric Roberts|Mickey Rourke|Daryl Hannah
2348,Drama,Sid and Nancy (1986),29 August 1986 (Finland),Alex Cox,Alex Cox,Gary Oldman|Chloe Webb|David Hayman
2349,Comedy|Thriller,Mona Lisa (1986),19 September 1986 (UK),Neil Jordan,Neil Jordan,Bob Hoskins|Cathy Tyson|Michael Caine
2350,Comedy,Heart Condition (1990),2 February 1990 (USA),James D. Parriott,James D. Parriott,Bob Hoskins|Denzel Washington|Chloe Webb
2351,Drama,Nights of Cabiria (Le Notti di Cabiria) (1957),"October 16, 1957 ",Federico Fellini,Federico Fellini|Ennio Flaiano|Tullio Pinelli|Federico Fellini|Ennio Flaiano|Tullio Pinelli|Federico Fellini|Ennio Flaiano|Tullio Pinelli|Federico Fellini|Ennio Flaiano|Tullio Pinelli|Federico Fellini|Ennio Flaiano|Tullio Pinelli|Federico Fellini|Ennio Flaiano|Tullio Pinelli,Giulietta Masina|François Périer|Franca Marzi|Giulietta Masina|François Périer|Franca Marzi|Giulietta Masina|François Périer|Franca Marzi|Giulietta Masina|François Périer|Franca Marzi
2352,Comedy|Drama,"Big Chill, The (1983)",30 September 1983 (USA),Lawrence Kasdan,Lawrence Kasdan,Tom Berenger|Glenn Close|Jeff Goldblum
2353,Action|Thriller,Enemy of the State (1998),20 November 1998 (USA),Tony Scott,David Marconi,Will Smith|Gene Hackman|Jon Voight
2354,Animation|Children's|Comedy,"Rugrats Movie, The (1998)",20 November 1998 (USA),Igor Kovalyov|Norton Virgien,David N. Weiss|J. David Stem,Elizabeth Daily|Christine Cavanaugh|Kath Soucie
2355,Animation|Children's|Comedy,"Bug's Life, A (1998)",25 November 1998 (USA),John Lasseter|Andrew Stanton,John Lasseter|Andrew Stanton,Kevin Spacey|Dave Foley|Julia Louis-Dreyfus
2356,Comedy,Celebrity (1998),20 November 1998 (USA),Woody Allen,Woody Allen,Kenneth Branagh|Judy Davis|Leonardo DiCaprio
2357,Drama,Central Station (Central do Brasil) (1998),"November 20, 1998 ",Walter Salles,Marcos Bernstein|João Emanuel Carneiro|Walter Salles|Marcos Bernstein|João Emanuel Carneiro|Walter Salles|Marcos Bernstein|João Emanuel Carneiro|Walter Salles|Marcos Bernstein|João Emanuel Carneiro|Walter Salles|Marcos Bernstein|João Emanuel Carneiro|Walter Salles|Marcos Bernstein|João Emanuel Carneiro|Walter Salles,Fernanda Montenegro|Vinícius de Oliveira|Marília Pêra|Fernanda Montenegro|Vinícius de Oliveira|Marília Pêra|Fernanda Montenegro|Vinícius de Oliveira|Marília Pêra|Fernanda Montenegro|Vinícius de Oliveira|Marília Pêra
2358,Drama,Savior (1998),20 November 1998 (USA),Predrag Antonijevic,Robert Orr,Dennis Quaid|Nastassja Kinski|Pascal Rollin
2359,Comedy,Waking Ned Devine (1998),"January 8, 1999 ",Kirk Jones,Kirk Jones|Kirk Jones|Kirk Jones,Ian Bannen|David Kelly|Fionnula Flanagan|Ian Bannen|David Kelly|Fionnula Flanagan|Ian Bannen|David Kelly|Fionnula Flanagan|Ian Bannen|David Kelly|Fionnula Flanagan
2360,Drama,"Celebration, The (Festen) (1998)","June 19, 1998 ",Thomas Vinterberg,Thomas Vinterberg|Mogens Rukov|Thomas Vinterberg|Mogens Rukov|Thomas Vinterberg|Mogens Rukov|Thomas Vinterberg|Mogens Rukov|Thomas Vinterberg|Mogens Rukov|Thomas Vinterberg|Mogens Rukov,Ulrich Thomsen|Henning Moritzen|Thomas Bo Larsen|Ulrich Thomsen|Henning Moritzen|Thomas Bo Larsen|Ulrich Thomsen|Henning Moritzen|Thomas Bo Larsen|Ulrich Thomsen|Henning Moritzen|Thomas Bo Larsen
2361,Comedy,Pink Flamingos (1972),October 1979 (West Germany),John Waters,John Waters,Divine|David Lochary|Mary Vivian Pearce
2362,Drama,Glen or Glenda (1953),April 1953 (USA),Edward D. Wood Jr.,Edward D. Wood Jr.,Edward D. Wood Jr.|Bela Lugosi|Lyle Talbot
2363,Action|Sci-Fi,Godzilla (Gojira) (1954),"March 11, 2022 ",,,
2364,Action|Sci-Fi,Godzilla (Gojira) (1984),"June 20, 2021 ",Gary Leva,,Stephen T. Asma|Leo Braudy|Gareth Edwards|Stephen T. Asma|Leo Braudy|Gareth Edwards|Stephen T. Asma|Leo Braudy|Gareth Edwards|Stephen T. Asma|Leo Braudy|Gareth Edwards
2365,Action|Sci-Fi,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),,,,
2366,Action|Adventure|Horror,King Kong (1933),7 April 1933 (USA),Merian C. Cooper|Ernest B. Schoedsack,James Ashmore Creelman|Ruth Rose,Fay Wray|Robert Armstrong|Bruce Cabot
2367,Action|Adventure|Horror,King Kong (1976),17 December 1976 (USA),John Guillermin,James Ashmore Creelman|Ruth Rose,Jeff Bridges|Charles Grodin|Jessica Lange
2368,Action|Adventure|Horror,King Kong Lives (1986),19 December 1986 (USA),John Guillermin|Charles McCracken,Ronald Shusett|Steven Pressfield,Brian Kerwin|Linda Hamilton|Peter Elliott
2369,Comedy|Romance,Desperately Seeking Susan (1985),12 April 1985 (USA),Susan Seidelman,Leora Barish,Rosanna Arquette|Madonna|Aidan Quinn
2370,Action|Adventure|Drama,"Emerald Forest, The (1985)",23 August 1985 (UK),John Boorman,Leonard Greenwood|Rospo Pallenberg,Powers Boothe|Meg Foster|Yara Vaneau
2371,Comedy,Fletch (1985),31 May 1985 (USA),Michael Ritchie,Gregory McDonald,Chevy Chase|Joe Don Baker|Dana Wheeler-Nicholson
2372,Comedy,Fletch Lives (1989),17 March 1989 (USA),Michael Ritchie,Gregory McDonald,Chevy Chase|Hal Holbrook|Julianne Phillips
2373,Action|Adventure,Red Sonja (1985),3 July 1985 (USA),Richard Fleischer,Robert E. Howard|Clive Exton,Arnold Schwarzenegger|Brigitte Nielsen|Sandahl Bergman
2374,Comedy|Drama,Gung Ho (1986),14 March 1986 (USA),Ron Howard,Edwin Blum|Lowell Ganz,Michael Keaton|Gedde Watanabe|George Wendt
2375,Comedy,"Money Pit, The (1986)",26 March 1986 (USA),Richard Benjamin,David Giler,Tom Hanks|Shelley Long|Alexander Godunov
2376,Action,"View to a Kill, A (1985)",13 June 1985 (UK),John Glen,Richard Maibaum,Roger Moore|Christopher Walken|Tanya Roberts
2377,Horror|Sci-Fi,Lifeforce (1985),21 June 1985 (USA),Tobe Hooper,Colin Wilson|Dan O'Bannon,Steve Railsback|Mathilda May|Peter Firth
2378,Comedy,Police Academy (1984),23 March 1984 (USA),Hugh Wilson,Neal Israel|Pat Proft,Steve Guttenberg|G.W. Bailey|Kim Cattrall
2379,Comedy,Police Academy 2: Their First Assignment (1985),29 March 1985 (USA),Jerry Paris|James Signorelli,Neal Israel|Pat Proft,Steve Guttenberg|Bubba Smith|David Graf
2380,Comedy,Police Academy 3: Back in Training (1986),21 March 1986 (USA),Jerry Paris,Neal Israel|Pat Proft,Steve Guttenberg|Bubba Smith|David Graf
2381,Comedy,Police Academy 4: Citizens on Patrol (1987),3 April 1987 (USA),Jim Drake,Neal Israel|Pat Proft,Steve Guttenberg|Bubba Smith|Michael Winslow
2382,Comedy,Police Academy 5: Assignment: Miami Beach (1988),18 March 1988 (USA),Alan Myerson,Neal Israel|Pat Proft,Bubba Smith|David Graf|Michael Winslow
2383,Comedy,Police Academy 6: City Under Siege (1989),10 March 1989 (USA),Peter Bonerz,Neal Israel|Pat Proft,Bubba Smith|David Graf|Michael Winslow
2384,Children's|Comedy,Babe: Pig in the City (1998),10 December 1998 (Australia),George Miller,George Miller|Judy Morris,Magda Szubanski|Elizabeth Daily|Mickey Rooney
2385,Comedy|Romance,Home Fries (1998),25 November 1998 (USA),Dean Parisot,Vince Gilligan,Drew Barrymore|Luke Wilson|Catherine O'Hara
2386,Drama,Jerry Springer: Ringmaster (1998),"November 25, 1998 ",Neil Abramson,Jon Bernstein|Jon Bernstein|Jon Bernstein,Jerry Springer|Jaime Pressly|William McNamara|Jerry Springer|Jaime Pressly|William McNamara|Jerry Springer|Jaime Pressly|William McNamara|Jerry Springer|Jaime Pressly|William McNamara
2387,Comedy|Crime,Very Bad Things (1998),25 November 1998 (USA),Peter Berg,Peter Berg,Christian Slater|Daniel Stern|Cameron Diaz
2388,Drama|Romance,Steam: The Turkish Bath (Hamam) (1997),"November 25, 1998 ",Ferzan Özpetek,Ferzan Özpetek|Stefano Tummolini|Aldo Sambrell|Ferzan Özpetek|Stefano Tummolini|Aldo Sambrell|Ferzan Özpetek|Stefano Tummolini|Aldo Sambrell|Ferzan Özpetek|Stefano Tummolini|Aldo Sambrell|Ferzan Özpetek|Stefano Tummolini|Aldo Sambrell|Ferzan Özpetek|Stefano Tummolini|Aldo Sambrell,Alessandro Gassmann|Francesca d'Aloja|Carlo Cecchi|Alessandro Gassmann|Francesca d'Aloja|Carlo Cecchi|Alessandro Gassmann|Francesca d'Aloja|Carlo Cecchi|Alessandro Gassmann|Francesca d'Aloja|Carlo Cecchi
2389,Crime|Horror|Thriller,Psycho (1998),4 December 1998 (USA),Gus Van Sant,Robert Bloch,Vince Vaughn|Anne Heche|Julianne Moore
2390,Comedy,Little Voice (1998),8 January 1999 (UK),Mark Herman,Jim Cartwright,Brenda Blethyn|Jane Horrocks|Michael Caine
2391,Crime|Thriller,"Simple Plan, A (1998)",22 January 1999 (USA),Sam Raimi,Scott B. Smith,Bill Paxton|Billy Bob Thornton|Bridget Fonda
2392,Comedy|Drama,Jack Frost (1998),11 December 1998 (USA),Troy Miller,Mark Steven Johnson|Mark Steven Johnson,Michael Keaton|Kelly Preston|Joseph Cross
2393,Action|Sci-Fi,Star Trek: Insurrection (1998),11 December 1998 (USA),Jonathan Frakes,Gene Roddenberry|Rick Berman,Patrick Stewart|Jonathan Frakes|Brent Spiner
2394,Animation|Musical,"Prince of Egypt, The (1998)",18 December 1998 (USA),Brenda Chapman|Steve Hickner|1 more credit,Philip LaZebnik,Val Kilmer|Ralph Fiennes|Michelle Pfeiffer
2395,Comedy,Rushmore (1998),19 February 1999 (USA),Wes Anderson,Wes Anderson,Jason Schwartzman|Bill Murray|Olivia Williams
2396,Comedy|Romance,Shakespeare in Love (1998),8 January 1999 (USA),John Madden,Marc Norman,Gwyneth Paltrow|Joseph Fiennes|Geoffrey Rush
2397,Drama,Mass Appeal (1984),"December 14, 1984 ",Glenn Jordan,Bill C. Davis|Bill C. Davis|Bill C. Davis,Jack Lemmon|Zeljko Ivanek|Charles Durning|Jack Lemmon|Zeljko Ivanek|Charles Durning|Jack Lemmon|Zeljko Ivanek|Charles Durning|Jack Lemmon|Zeljko Ivanek|Charles Durning
2398,Drama,Miracle on 34th Street (1947),2 October 1947 (Argentina),George Seaton,George Seaton,Edmund Gwenn|Maureen O'Hara|John Payne
2399,Adventure|Children's|Fantasy,Santa Claus: The Movie (1985),27 November 1985 (USA),Jeannot Szwarc,David Newman|Leslie Newman,Dudley Moore|John Lithgow|David Huddleston
2400,Children's|Drama,Prancer (1989),17 November 1989 (USA),John D. Hancock,Greg Taylor,Sam Elliott|Cloris Leachman|Rutanya Alda
2401,Western,Pale Rider (1985),28 June 1985 (USA),Clint Eastwood,Michael Butler,Clint Eastwood|Michael Moriarty|Carrie Snodgress
2402,Action|War,Rambo: First Blood Part II (1985),22 May 1985 (USA),George P. Cosmatos,David Morrell|Kevin Jarre,Sylvester Stallone|Richard Crenna|Charles Napier
2403,Action,First Blood (1982),22 October 1982 (USA),Ted Kotcheff,David Morrell|Michael Kozoll,Sylvester Stallone|Brian Dennehy|Richard Crenna
2404,Action|War,Rambo III (1988),25 May 1988 (USA),Peter MacDonald,David Morrell|Sylvester Stallone,Sylvester Stallone|Richard Crenna|Marc de Jonge
2405,Action|Adventure|Comedy|Romance,"Jewel of the Nile, The (1985)",11 December 1985 (USA),Lewis Teague,Mark Rosenthal|Lawrence Konner,Michael Douglas|Kathleen Turner|Danny DeVito
2406,Action|Adventure|Comedy|Romance,Romancing the Stone (1984),30 March 1984 (USA),Robert Zemeckis,Diane Thomas|Lem Dobbs|Howard Franklin,Michael Douglas|Kathleen Turner|Danny DeVito
2407,Comedy|Sci-Fi,Cocoon (1985),21 June 1985 (USA),Ron Howard,Tom Benedek,Don Ameche|Wilford Brimley|Hume Cronyn
2408,Comedy|Sci-Fi,Cocoon: The Return (1988),23 November 1988 (USA),Daniel Petrie,David Saperstein|Stephen McPherson,Don Ameche|Wilford Brimley|Courteney Cox
2409,Action|Drama,Rocky II (1979),15 June 1979 (USA),Sylvester Stallone,Sylvester Stallone,Sylvester Stallone|Talia Shire|Burt Young
2410,Action|Drama,Rocky III (1982),28 May 1982 (USA),Sylvester Stallone,Sylvester Stallone,Sylvester Stallone|Talia Shire|Burt Young
2411,Action|Drama,Rocky IV (1985),27 November 1985 (USA),Sylvester Stallone,Sylvester Stallone,Sylvester Stallone|Talia Shire|Burt Young
2412,Action|Drama,Rocky V (1990),16 November 1990 (USA),John G. Avildsen,Sylvester Stallone,Sylvester Stallone|Talia Shire|Burt Young
2413,Comedy|Mystery,Clue (1985),13 December 1985 (USA),Jonathan Lynn,John Landis|Jonathan Lynn,Eileen Brennan|Tim Curry|Madeline Kahn
2414,Action|Adventure|Mystery,Young Sherlock Holmes (1985),4 December 1985 (USA),Barry Levinson,Arthur Conan Doyle,Nicholas Rowe|Alan Cox|Sophie Ward
2415,Drama|Romance,Violets Are Blue... (1986),25 April 1986 (USA),Jack Fisk,Naomi Foner,Sissy Spacek|Kevin Kline|Bonnie Bedelia
2416,Comedy,Back to School (1986),13 June 1986 (USA),Alan Metter,Rodney Dangerfield|Greg Fields,Rodney Dangerfield|Sally Kellerman|Burt Young
2417,Comedy|Drama,Heartburn (1986),25 July 1986 (USA),Mike Nichols,Nora Ephron,Meryl Streep|Jack Nicholson|Jeff Daniels
2418,Comedy,Nothing in Common (1986),30 July 1986 (USA),Garry Marshall,Rick Podell,Tom Hanks|Jackie Gleason|Eva Marie Saint
2419,Drama|Thriller,Extremities (1986),22 August 1986 (USA),Robert M. Young,William Mastrosimone,Farrah Fawcett|James Russo|Alfre Woodard
2420,Drama,"Karate Kid, The (1984)",22 June 1984 (USA),John G. Avildsen,Robert Mark Kamen,Ralph Macchio|Pat Morita|Elisabeth Shue
2421,Action|Adventure|Drama,"Karate Kid, Part II, The (1986)",20 June 1986 (USA),John G. Avildsen,Robert Mark Kamen,Pat Morita|Ralph Macchio|Pat E. Johnson
2422,Action|Adventure|Drama,"Karate Kid III, The (1989)",,,,
2423,Comedy,Christmas Vacation (1989),"June 30, 1989 ",John G. Avildsen,Robert Mark Kamen|Robert Mark Kamen|Robert Mark Kamen,Ralph Macchio|Pat Morita|Robyn Lively|Ralph Macchio|Pat Morita|Robyn Lively|Ralph Macchio|Pat Morita|Robyn Lively|Ralph Macchio|Pat Morita|Robyn Lively
2424,Comedy|Romance,You've Got Mail (1998),18 December 1998 (USA),Nora Ephron,Miklós László|Nora Ephron,Tom Hanks|Meg Ryan|Greg Kinnear
2425,Crime,"General, The (1998)",29 May 1998 (UK),John Boorman,John Boorman,Brendan Gleeson|Adrian Dunbar|Sean McGinley
2426,Comedy|Drama|Romance,"Theory of Flight, The (1998)","December 1, 1989 ",Jeremiah S. Chechik,John Hughes|John Hughes|John Hughes,Chevy Chase|Beverly D'Angelo|Juliette Lewis|Chevy Chase|Beverly D'Angelo|Juliette Lewis|Chevy Chase|Beverly D'Angelo|Juliette Lewis|Chevy Chase|Beverly D'Angelo|Juliette Lewis
2427,Action|Drama|War,"Thin Red Line, The (1998)",15 January 1999 (USA),Terrence Malick,James Jones,Jim Caviezel|Sean Penn|Nick Nolte
2428,Horror|Sci-Fi,"Faculty, The (1998)",25 December 1998 (USA),Robert Rodriguez,David Wechter|Bruce Kimmel,Jordana Brewster|Clea DuVall|Laura Harris
2429,Adventure|Children's|Drama,Mighty Joe Young (1998),25 December 1998 (USA),Ron Underwood,Merian C. Cooper|Ruth Rose,Bill Paxton|Charlize Theron|Rade Serbedzija
2430,Adventure|Children's|Drama,Mighty Joe Young (1949),29 August 1949 (Sweden),Ernest B. Schoedsack,Ruth Rose,Terry Moore|Ben Johnson|Robert Armstrong
2431,Comedy|Drama,Patch Adams (1998),25 December 1998 (USA),Tom Shadyac,Patch Adams|Maureen Mylander,Robin Williams|Daniel London|Monica Potter
2432,Drama,Stepmom (1998),25 December 1998 (USA),Chris Columbus,Gigi Levangie|Gigi Levangie,Julia Roberts|Susan Sarandon|Ed Harris
2433,Drama,"Civil Action, A (1998)",8 January 1999 (USA),Steven Zaillian,Jonathan Harr,John Travolta|Robert Duvall|Kathleen Quinlan
2434,Drama,Down in the Delta (1998),"December 25, 1998 ",Maya Angelou,Myron Goble|Myron Goble|Myron Goble,Alfre Woodard|Al Freeman Jr.|Mary Alice|Alfre Woodard|Al Freeman Jr.|Mary Alice|Alfre Woodard|Al Freeman Jr.|Mary Alice|Alfre Woodard|Al Freeman Jr.|Mary Alice
2435,Drama,Hurlyburly (1998),25 December 1998 (USA),Anthony Drazan,David Rabe,Sean Penn|Kevin Spacey|Chazz Palminteri
2436,Comedy,Tea with Mussolini (1999),"May 14, 1999 ",Franco Zeffirelli,John Mortimer|Franco Zeffirelli|John Mortimer|Franco Zeffirelli|John Mortimer|Franco Zeffirelli|John Mortimer|Franco Zeffirelli|John Mortimer|Franco Zeffirelli|John Mortimer|Franco Zeffirelli,Maggie Smith|Judi Dench|Joan Plowright|Maggie Smith|Judi Dench|Joan Plowright|Maggie Smith|Judi Dench|Joan Plowright|Maggie Smith|Judi Dench|Joan Plowright
2437,Drama,Wilde (1997),"May 1, 1998 ",Brian Gilbert,Julian Mitchell|Richard Ellmann|Julian Mitchell|Richard Ellmann|Julian Mitchell|Richard Ellmann|Julian Mitchell|Richard Ellmann|Julian Mitchell|Richard Ellmann|Julian Mitchell|Richard Ellmann,Stephen Fry|Jude Law|Vanessa Redgrave|Stephen Fry|Jude Law|Vanessa Redgrave|Stephen Fry|Jude Law|Vanessa Redgrave|Stephen Fry|Jude Law|Vanessa Redgrave
2438,Drama|Thriller,Outside Ozona (1998),"December 18, 1998 ",J.S. Cardone,J.S. Cardone|J.S. Cardone|J.S. Cardone,Robert Forster|Kevin Pollak|Sherilyn Fenn|Robert Forster|Kevin Pollak|Sherilyn Fenn|Robert Forster|Kevin Pollak|Sherilyn Fenn|Robert Forster|Kevin Pollak|Sherilyn Fenn|Millennium Films|Sandstorm Films|TriStar Pictures
2439,Drama,Affliction (1997),19 February 1999 (USA),Paul Schrader,Russell Banks,Nick Nolte|Sissy Spacek|James Coburn
2440,Drama,Another Day in Paradise (1998),"January 22, 1999 ",Larry Clark,Eddie Little|Christopher Landon|Stephen Chin|Eddie Little|Christopher Landon|Stephen Chin|Eddie Little|Christopher Landon|Stephen Chin|Eddie Little|Christopher Landon|Stephen Chin|Eddie Little|Christopher Landon|Stephen Chin|Eddie Little|Christopher Landon|Stephen Chin,James Woods|Melanie Griffith|Vincent Kartheiser|James Woods|Melanie Griffith|Vincent Kartheiser|James Woods|Melanie Griffith|Vincent Kartheiser|James Woods|Melanie Griffith|Vincent Kartheiser
2441,Drama|Western,"Hi-Lo Country, The (1998)","January 22, 1999 ",Stephen Frears,Max Evans|Walon Green|Max Evans|Walon Green|Max Evans|Walon Green|Max Evans|Walon Green|Max Evans|Walon Green|Max Evans|Walon Green,Billy Crudup|Woody Harrelson|Patricia Arquette|Billy Crudup|Woody Harrelson|Patricia Arquette|Billy Crudup|Woody Harrelson|Patricia Arquette|Billy Crudup|Woody Harrelson|Patricia Arquette
2442,Drama,Hilary and Jackie (1998),22 January 1999 (UK),Anand Tucker,Hilary du Pré|Piers du Pré,Emily Watson|Rachel Griffiths|James Frain
2443,Drama|Romance,Playing by Heart (1998),22 January 1999 (USA),Willard Carroll,Willard Carroll,Gillian Anderson|Ellen Burstyn|Sean Connery
2444,Comedy|Drama,24 7: Twenty Four Seven (1997),"May 1, 1998 ",Shane Meadows,Paul Fraser|Shane Meadows|Paul Fraser|Shane Meadows|Paul Fraser|Shane Meadows|Paul Fraser|Shane Meadows|Paul Fraser|Shane Meadows|Paul Fraser|Shane Meadows,Bob Hoskins|Danny Nussbaum|Toby|Bob Hoskins|Danny Nussbaum|Toby|Bob Hoskins|Danny Nussbaum|Toby|Bob Hoskins|Danny Nussbaum|Toby
2445,Drama,At First Sight (1999),15 January 1999 (USA),Irwin Winkler,Oliver Sacks,Val Kilmer|Mira Sorvino|Kelly McGillis
2446,Thriller,In Dreams (1999),15 January 1999 (USA),Neil Jordan,Bari Wood|Bruce Robinson,Annette Bening|Robert Downey Jr.|Katie Sagona
2447,Comedy|Drama,Varsity Blues (1999),15 January 1999 (USA),Brian Robbins,W. Peter Iliff,James Van Der Beek|Jon Voight|Paul Walker
2448,Horror|Sci-Fi,Virus (1999),15 January 1999 (USA),John Bruno,Chuck Pfarrer|Chuck Pfarrer,Jamie Lee Curtis|Donald Sutherland|William Baldwin
